   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
         278   1.39500014E-04   2.76083709E-04   2.76076782E-04  -2.50898011E-05
         279   1.40000018E-04   2.77069892E-04   2.77062645E-04  -2.61560108E-05
         280   1.40500022E-04   2.78056046E-04   2.78049702E-04  -2.28183490E-05
         281   1.41000011E-04   2.79042142E-04   2.79035565E-04  -2.35721418E-05
         282   1.41500015E-04   2.80028180E-04   2.80021428E-04  -2.41127564E-05
         283   1.42000019E-04   2.81014189E-04   2.81007291E-04  -2.45460105E-05
         284   1.42500023E-04   2.82000139E-04   2.81993154E-04  -2.47698190E-05
         285   1.43000012E-04   2.82986031E-04   2.82979017E-04  -2.47863718E-05
         286   1.43500016E-04   2.83971895E-04   2.83964881E-04  -2.47003190E-05
         287   1.44000020E-04   2.84957699E-04   2.84950715E-04  -2.45127285E-05
         288   1.44500009E-04   2.85943446E-04   2.85936578E-04  -2.40210757E-05
         289   1.45000013E-04   2.86929135E-04   2.86922441E-04  -2.33299324E-05
         290   1.45500017E-04   2.87914794E-04   2.87907111E-04  -2.66871193E-05
         291   1.46000020E-04   2.88900395E-04   2.88892974E-04  -2.56893636E-05
         292   1.46500010E-04   2.89885938E-04   2.89878837E-04  -2.44975963E-05
         293   1.47000013E-04   2.90871452E-04   2.90864700E-04  -2.32138464E-05
         294   1.47500017E-04   2.91856908E-04   2.91849370E-04  -2.58280234E-05
         295   1.48000021E-04   2.92842305E-04   2.92835233E-04  -2.41508878E-05
         296   1.48500010E-04   2.93827674E-04   2.93819903E-04  -2.64472310E-05
         297   1.49000014E-04   2.94812984E-04   2.94805766E-04  -2.44830699E-05
         298   1.49500018E-04   2.95798236E-04   2.95790436E-04  -2.63694346E-05
         299   1.50000022E-04   2.96783459E-04   2.96776299E-04  -2.41243742E-05
         300   1.50500011E-04   2.97768624E-04   2.97760969E-04  -2.57062147E-05
         301   1.51000015E-04   2.98753730E-04   2.98746803E-04  -2.31858940E-05
         302   1.51500019E-04   2.99738778E-04   2.99731473E-04  -2.43720206E-05
         303   1.52000022E-04   3.00723797E-04   3.00716143E-04  -2.54535971E-05
         304   1.52500012E-04   3.01708758E-04   3.01700813E-04  -2.63351812E-05
         305   1.53000015E-04   3.02693661E-04   3.02686676E-04  -2.30764017E-05
         306   1.53500019E-04   3.03678535E-04   3.03671346E-04  -2.36724536E-05
         307   1.54000023E-04   3.04663350E-04   3.04656016E-04  -2.40735935E-05
         308   1.54500012E-04   3.05648107E-04   3.05640686E-04  -2.42817041E-05
         309   1.55000016E-04   3.06632835E-04   3.06625356E-04  -2.43935610E-05
         310   1.55500020E-04   3.07617505E-04   3.07610026E-04  -2.43154773E-05
         311   1.56000024E-04   3.08602117E-04   3.08594696E-04  -2.40492682E-05
         312   1.56500013E-04   3.09586700E-04   3.09579365E-04  -2.36907435E-05
         313   1.57000017E-04   3.10571224E-04   3.10564035E-04  -2.31470658E-05
         314   1.57500021E-04   3.11555690E-04   3.11547512E-04  -2.62501744E-05
         315   1.58000024E-04   3.12540098E-04   3.12532182E-04  -2.53293656E-05
         316   1.58500014E-04   3.13524477E-04   3.13516852E-04  -2.43215109E-05
         317   1.59000017E-04   3.14508798E-04   3.14501522E-04  -2.31348877E-05
         318   1.59500021E-04   3.15493060E-04   3.15484998E-04  -2.55535488E-05
         319   1.60000025E-04   3.16477293E-04   3.16469668E-04  -2.40945792E-05
         320   1.60500014E-04   3.17461469E-04   3.17453145E-04  -2.62202338E-05
         321   1.61000018E-04   3.18445585E-04   3.18437815E-04  -2.44026378E-05
         322   1.61500022E-04   3.19429673E-04   3.19421291E-04  -2.62409030E-05
         323   1.62000011E-04   3.20413703E-04   3.20405961E-04  -2.41619073E-05
         324   1.62500015E-04   3.21397674E-04   3.21389438E-04  -2.56274252E-05
         325   1.63000019E-04   3.22381617E-04   3.22374108E-04  -2.32921575E-05
         326   1.63500023E-04   3.23365501E-04   3.23357584E-04  -2.44813855E-05
         327   1.64000012E-04   3.24349327E-04   3.24341061E-04  -2.54839397E-05
         328   1.64500016E-04   3.25333123E-04   3.25324538E-04  -2.63909697E-05
         329   1.65000019E-04   3.26316862E-04   3.26309208E-04  -2.34572217E-05
         330   1.65500023E-04   3.27300542E-04   3.27292684E-04  -2.40091958E-05
         331   1.66000013E-04   3.28284164E-04   3.28276161E-04  -2.43805498E-05
         332   1.66500016E-04   3.29267757E-04   3.29259638E-04  -2.46612944E-05
         333   1.67000020E-04   3.30251292E-04   3.30243114E-04  -2.47641092E-05
         334   1.67500024E-04   3.31234769E-04   3.31226591E-04  -2.46905784E-05
         335   1.68000013E-04   3.32218216E-04   3.32210067E-04  -2.45298779E-05
         336   1.68500017E-04   3.33201606E-04   3.33193544E-04  -2.41954294E-05
         337   1.69000021E-04   3.34184937E-04   3.34177021E-04  -2.36887681E-05
         338   1.69500025E-04   3.35168239E-04   3.35160497E-04  -2.30982441E-05
         339   1.70000014E-04   3.36151483E-04   3.36142781E-04  -2.58879427E-05
         340   1.70500018E-04   3.37134668E-04   3.37126257E-04  -2.49491313E-05
         341   1.71000022E-04   3.38117825E-04   3.38109734E-04  -2.39297005E-05
         342   1.71500025E-04   3.39100923E-04   3.39092017E-04  -2.62635858E-05
         343   1.72000015E-04   3.40083963E-04   3.40075494E-04  -2.49039258E-05
         344   1.72500018E-04   3.41066945E-04   3.41058971E-04  -2.33814390E-05
         345   1.73000022E-04   3.42049898E-04   3.42041254E-04  -2.52713307E-05
         346   1.73500026E-04   3.43032792E-04   3.43024731E-04  -2.35019816E-05
