   it           t(s)          Vm(V) V_analitica(V)      Error_relativo
         278   2.79000029E-03   4.85617202E-03   4.85406397E-03  -4.34285292E-04
         279   2.80000013E-03   4.87131579E-03   4.86920215E-03  -4.34082729E-04
         280   2.81000021E-03   4.88644466E-03   4.88432497E-03  -4.33978130E-04
         281   2.82000029E-03   4.90155816E-03   4.89943381E-03  -4.33590263E-04
         282   2.83000013E-03   4.91665676E-03   4.91452683E-03  -4.33395675E-04
         283   2.84000020E-03   4.93174000E-03   4.92960447E-03  -4.33203648E-04
         284   2.85000028E-03   4.94680833E-03   4.94466769E-03  -4.32919885E-04
         285   2.86000012E-03   4.96186130E-03   4.95971553E-03  -4.32639179E-04
         286   2.87000020E-03   4.97689936E-03   4.97474801E-03  -4.32455097E-04
         287   2.88000028E-03   4.99192253E-03   4.98976558E-03  -4.32273431E-04
         288   2.89000012E-03   5.00693079E-03   5.00476826E-03  -4.32094123E-04
         289   2.90000020E-03   5.02192369E-03   5.01975510E-03  -4.32010042E-04
         290   2.91000027E-03   5.03690168E-03   5.03472891E-03  -4.31557623E-04
         291   2.92000012E-03   5.05186478E-03   5.04968641E-03  -4.31385910E-04
         292   2.93000019E-03   5.06681297E-03   5.06462902E-03  -4.31216467E-04
         293   2.94000027E-03   5.08174626E-03   5.07955765E-03  -4.30865883E-04
         294   2.95000011E-03   5.09666465E-03   5.09447092E-03  -4.30610031E-04
         295   2.96000019E-03   5.11156814E-03   5.10936836E-03  -4.30539309E-04
         296   2.97000026E-03   5.12645673E-03   5.12425182E-03  -4.30288404E-04
         297   2.98000011E-03   5.14133042E-03   5.13911946E-03  -4.30221524E-04
         298   2.99000018E-03   5.15618920E-03   5.15397312E-03  -4.29975480E-04
         299   3.00000026E-03   5.17103309E-03   5.16881235E-03  -4.29641950E-04
         300   3.01000010E-03   5.18586207E-03   5.18363575E-03  -4.29491338E-04
         301   3.02000018E-03   5.20067615E-03   5.19844517E-03  -4.29163571E-04
         302   3.03000025E-03   5.21547534E-03   5.21323923E-03  -4.28928237E-04
         303   3.04000010E-03   5.23026008E-03   5.22801885E-03  -4.28695435E-04
         304   3.05000017E-03   5.24502993E-03   5.24278264E-03  -4.28642874E-04
         305   3.06000025E-03   5.25978487E-03   5.25753247E-03  -4.28414583E-04
         306   3.07000009E-03   5.27452491E-03   5.27226785E-03  -4.28100466E-04
         307   3.08000017E-03   5.28925052E-03   5.28698787E-03  -4.27965453E-04
         308   3.09000025E-03   5.30396122E-03   5.30169345E-03  -4.27744555E-04
         309   3.10000009E-03   5.31865750E-03   5.31638507E-03  -4.27438383E-04
         310   3.11000017E-03   5.33333886E-03   5.33106085E-03  -4.27309889E-04
         311   3.12000024E-03   5.34800533E-03   5.34572219E-03  -4.27096122E-04
         312   3.13000032E-03   5.36265736E-03   5.36036957E-03  -4.26797807E-04
         313   3.14000016E-03   5.37729450E-03   5.37500251E-03  -4.26415587E-04
         314   3.15000024E-03   5.39191719E-03   5.38962008E-03  -4.26209474E-04
         315   3.16000031E-03   5.40652545E-03   5.40422322E-03  -4.26005601E-04
         316   3.17000016E-03   5.42111881E-03   5.41881192E-03  -4.25718055E-04
         317   3.18000023E-03   5.43569773E-03   5.43338526E-03  -4.25604638E-04
         318   3.19000031E-03   5.45026222E-03   5.44794416E-03  -4.25492966E-04
         319   3.20000015E-03   5.46481181E-03   5.46248909E-03  -4.25212464E-04
         320   3.21000023E-03   5.47934696E-03   5.47701959E-03  -4.24934609E-04
         321   3.22000030E-03   5.49386768E-03   5.49153564E-03  -4.24659316E-04
         322   3.23000015E-03   5.50837396E-03   5.50603634E-03  -4.24555794E-04
         323   3.24000022E-03   5.52286580E-03   5.52052259E-03  -4.24453960E-04
         324   3.25000030E-03   5.53734275E-03   5.53499581E-03  -4.24017111E-04
         325   3.26000014E-03   5.55180525E-03   5.54945320E-03  -4.23835474E-04
         326   3.27000022E-03   5.56625333E-03   5.56389662E-03  -4.23572172E-04
         327   3.28000030E-03   5.58068696E-03   5.57832606E-03  -4.23227815E-04
         328   3.29000014E-03   5.59510617E-03   5.59273968E-03  -4.23136196E-04
         329   3.30000021E-03   5.60951093E-03   5.60713978E-03  -4.22879995E-04
         330   3.31000029E-03   5.62390126E-03   5.62152592E-03  -4.22543322E-04
         331   3.32000013E-03   5.63827716E-03   5.63589670E-03  -4.22374753E-04
         332   3.33000021E-03   5.65263908E-03   5.65025304E-03  -4.22290555E-04
         333   3.34000029E-03   5.66698657E-03   5.66459633E-03  -4.21961129E-04
         334   3.35000013E-03   5.68131963E-03   5.67892520E-03  -4.21634410E-04
         335   3.36000021E-03   5.69563825E-03   5.69323869E-03  -4.21474106E-04
         336   3.37000028E-03   5.70994243E-03   5.70753822E-03  -4.21233999E-04
         337   3.38000013E-03   5.72423264E-03   5.72182424E-03  -4.20914730E-04
         338   3.39000020E-03   5.73850842E-03   5.73609443E-03  -4.20841767E-04
         339   3.40000028E-03   5.75276976E-03   5.75035065E-03  -4.20689204E-04
         340   3.41000012E-03   5.76701714E-03   5.76459384E-03  -4.20376775E-04
         341   3.42000020E-03   5.78125007E-03   5.77882165E-03  -4.20228171E-04
         342   3.43000027E-03   5.79546904E-03   5.79303596E-03  -4.20000870E-04
         343   3.44000012E-03   5.80967357E-03   5.80723630E-03  -4.19695541E-04
         344   3.45000019E-03   5.82386367E-03   5.82142081E-03  -4.19632794E-04
         345   3.46000027E-03   5.83803980E-03   5.83559275E-03  -4.19331889E-04
         346   3.47000011E-03   5.85220195E-03   5.84975118E-03  -4.18953772E-04
