 # t  V  n  m  h  a  b  J
    458.73000000    -63.66894528      0.53332027      0.01727711      0.58573254      0.62972499      0.09158067     15.00000000
    458.74000000    -63.63689852      0.53224006      0.01734700      0.58790678      0.62909094      0.09193625     15.00000000
    458.75000000    -63.60482345      0.53116462      0.01741725      0.59006301      0.62846421      0.09228894     15.00000000
    458.76000000    -63.57272279      0.53009394      0.01748785      0.59220138      0.62784474      0.09263875     15.00000000
    458.77000000    -63.54059917      0.52902801      0.01755880      0.59432203      0.62723247      0.09298567     15.00000000
    458.78000000    -63.50845518      0.52796682      0.01763009      0.59642511      0.62662733      0.09332973     15.00000000
    458.79000000    -63.47629335      0.52691034      0.01770171      0.59851076      0.62602927      0.09367093     15.00000000
    458.80000000    -63.44411615      0.52585858      0.01777367      0.60057913      0.62543823      0.09400928     15.00000000
    458.81000000    -63.41192602      0.52481151      0.01784595      0.60263034      0.62485414      0.09434478     15.00000000
    458.82000000    -63.37972532      0.52376912      0.01791856      0.60466455      0.62427695      0.09467745     15.00000000
    458.83000000    -63.34751638      0.52273139      0.01799149      0.60668189      0.62370659      0.09500730     15.00000000
    458.84000000    -63.31530148      0.52169833      0.01806474      0.60868249      0.62314302      0.09533434     15.00000000
    458.85000000    -63.28308285      0.52066990      0.01813830      0.61066650      0.62258616      0.09565857     15.00000000
    458.86000000    -63.25086269      0.51964610      0.01821216      0.61263406      0.62203597      0.09598001     15.00000000
    458.87000000    -63.21864314      0.51862692      0.01828633      0.61458528      0.62149239      0.09629866     15.00000000
    458.88000000    -63.18642630      0.51761234      0.01836080      0.61652032      0.62095535      0.09661454     15.00000000
    458.89000000    -63.15421425      0.51660234      0.01843557      0.61843930      0.62042480      0.09692765     15.00000000
    458.90000000    -63.12200902      0.51559692      0.01851063      0.62034235      0.61990069      0.09723801     15.00000000
    458.91000000    -63.08981258      0.51459605      0.01858598      0.62222960      0.61938296      0.09754563     15.00000000
    458.92000000    -63.05762690      0.51359973      0.01866161      0.62410118      0.61887155      0.09785051     15.00000000
    458.93000000    -63.02545388      0.51260795      0.01873752      0.62595723      0.61836641      0.09815266     15.00000000
    458.94000000    -62.99329542      0.51162068      0.01881371      0.62779786      0.61786748      0.09845211     15.00000000
    458.95000000    -62.96115336      0.51063792      0.01889017      0.62962321      0.61737471      0.09874885     15.00000000
    458.96000000    -62.92902952      0.50965965      0.01896690      0.63143339      0.61688805      0.09904290     15.00000000
    458.97000000    -62.89692567      0.50868586      0.01904390      0.63322854      0.61640744      0.09933426     15.00000000
    458.98000000    -62.86484357      0.50771653      0.01912116      0.63500877      0.61593282      0.09962296     15.00000000
    458.99000000    -62.83278493      0.50675164      0.01919868      0.63677421      0.61546415      0.09990900     15.00000000
    459.00000000    -62.80075145      0.50579120      0.01927645      0.63852498      0.61500137      0.10019238     15.00000000
    459.01000000    -62.76874479      0.50483518      0.01935447      0.64026120      0.61454444      0.10047313     15.00000000
    459.02000000    -62.73676657      0.50388356      0.01943274      0.64198299      0.61409329      0.10075125     15.00000000
    459.03000000    -62.70481841      0.50293634      0.01951125      0.64369047      0.61364787      0.10102676     15.00000000
    459.04000000    -62.67290187      0.50199350      0.01959000      0.64538375      0.61320814      0.10129966     15.00000000
    459.05000000    -62.64101850      0.50105502      0.01966898      0.64706295      0.61277405      0.10156997     15.00000000
    459.06000000    -62.60916982      0.50012090      0.01974820      0.64872818      0.61234554      0.10183769     15.00000000
    459.07000000    -62.57735733      0.49919112      0.01982765      0.65037957      0.61192256      0.10210284     15.00000000
    459.08000000    -62.54558249      0.49826566      0.01990732      0.65201722      0.61150507      0.10236544     15.00000000
    459.09000000    -62.51384675      0.49734451      0.01998721      0.65364124      0.61109301      0.10262548     15.00000000
    459.10000000    -62.48215153      0.49642765      0.02006732      0.65525175      0.61068633      0.10288299     15.00000000
