 # V  ninf  minf  hinf  ainf  binf  taun  taum  tauh  taua  taub
    -89.70000000      0.02780919      0.00053215      0.99863674      0.43758392      0.73033589      2.67616412      0.00939265      0.46668292      1.33880421      3.71054508
    -89.60000000      0.02805626      0.00053960      0.99861617      0.43801957      0.72881406      2.67883044      0.00944495      0.46901252      1.33803919      3.70934769
    -89.50000000      0.02830536      0.00054716      0.99859530      0.43845557      0.72728572      2.68149366      0.00949754      0.47135360      1.33727156      3.70814397
    -89.40000000      0.02855650      0.00055482      0.99857411      0.43889194      0.72575087      2.68415371      0.00955042      0.47370622      1.33650132      3.70693391
    -89.30000000      0.02880969      0.00056259      0.99855260      0.43932866      0.72420952      2.68681055      0.00960359      0.47607043      1.33572848      3.70571746
    -89.20000000      0.02906494      0.00057046      0.99853077      0.43976575      0.72266166      2.68946412      0.00965706      0.47844628      1.33495301      3.70449462
    -89.10000000      0.02932228      0.00057844      0.99850861      0.44020319      0.72110728      2.69211435      0.00971082      0.48083383      1.33417493      3.70326534
    -89.00000000      0.02958171      0.00058654      0.99848612      0.44064099      0.71954640      2.69476118      0.00976489      0.48323314      1.33339423      3.70202961
    -88.90000000      0.02984325      0.00059474      0.99846329      0.44107915      0.71797901      2.69740455      0.00981925      0.48564425      1.33261090      3.70078739
    -88.80000000      0.03010691      0.00060306      0.99844011      0.44151767      0.71640510      2.70004442      0.00987392      0.48806722      1.33182494      3.69953866
    -88.70000000      0.03037272      0.00061149      0.99841659      0.44195654      0.71482469      2.70268070      0.00992888      0.49050211      1.33103635      3.69828339
    -88.60000000      0.03064067      0.00062004      0.99839271      0.44239578      0.71323776      2.70531334      0.00998416      0.49294897      1.33024512      3.69702156
    -88.50000000      0.03091080      0.00062871      0.99836847      0.44283537      0.71164433      2.70794229      0.01003974      0.49540786      1.32945125      3.69575313
    -88.40000000      0.03118310      0.00063749      0.99834387      0.44327532      0.71004438      2.71056747      0.01009562      0.49787884      1.32865474      3.69447809
    -88.30000000      0.03145761      0.00064640      0.99831890      0.44371563      0.70843794      2.71318882      0.01015182      0.50036195      1.32785559      3.69319641
    -88.20000000      0.03173432      0.00065543      0.99829355      0.44415630      0.70682499      2.71580629      0.01020833      0.50285726      1.32705378      3.69190805
    -88.10000000      0.03201327      0.00066458      0.99826782      0.44459733      0.70520554      2.71841980      0.01026515      0.50536481      1.32624932      3.69061299
    -88.00000000      0.03229446      0.00067386      0.99824171      0.44503872      0.70357959      2.72102930      0.01032229      0.50788468      1.32544220      3.68931120
    -87.90000000      0.03257790      0.00068327      0.99821520      0.44548046      0.70194715      2.72363471      0.01037975      0.51041690      1.32463242      3.68800266
    -87.80000000      0.03286362      0.00069280      0.99818829      0.44592256      0.70030822      2.72623598      0.01043752      0.51296155      1.32381998      3.68668734
    -87.70000000      0.03315163      0.00070247      0.99816098      0.44636502      0.69866281      2.72883303      0.01049561      0.51551868      1.32300488      3.68536522
    -87.60000000      0.03344194      0.00071227      0.99813325      0.44680784      0.69701092      2.73142581      0.01055403      0.51808833      1.32218710      3.68403626
    -87.50000000      0.03373457      0.00072221      0.99810511      0.44725101      0.69535255      2.73401425      0.01061276      0.52067058      1.32136666      3.68270044
    -87.40000000      0.03402953      0.00073228      0.99807655      0.44769455      0.69368771      2.73659827      0.01067183      0.52326548      1.32054354      3.68135773
    -87.30000000      0.03432684      0.00074249      0.99804755      0.44813844      0.69201642      2.73917782      0.01073122      0.52587308      1.31971774      3.68000810
    -87.20000000      0.03462652      0.00075284      0.99801812      0.44858269      0.69033866      2.74175282      0.01079094      0.52849345      1.31888926      3.67865153
    -87.10000000      0.03492858      0.00076333      0.99798825      0.44902730      0.68865446      2.74432320      0.01085099      0.53112663      1.31805810      3.67728799
