 # t  V  n  m  h  a  b  J
      1.26000000    -67.97471012      0.15583091      0.01007444      0.96554760      0.54042726      0.28850887      0.00000000
      1.27000000    -67.97471468      0.15583111      0.01007443      0.96555020      0.54042737      0.28850893      0.00000000
      1.28000000    -67.97471926      0.15583131      0.01007443      0.96555279      0.54042749      0.28850900      0.00000000
      1.29000000    -67.97472387      0.15583151      0.01007442      0.96555535      0.54042760      0.28850906      0.00000000
      1.30000000    -67.97472849      0.15583171      0.01007442      0.96555790      0.54042772      0.28850913      0.00000000
      1.31000000    -67.97473313      0.15583191      0.01007441      0.96556043      0.54042783      0.28850919      0.00000000
      1.32000000    -67.97473779      0.15583210      0.01007440      0.96556294      0.54042794      0.28850926      0.00000000
      1.33000000    -67.97474246      0.15583230      0.01007440      0.96556543      0.54042805      0.28850933      0.00000000
      1.34000000    -67.97474714      0.15583249      0.01007439      0.96556790      0.54042816      0.28850939      0.00000000
      1.35000000    -67.97475184      0.15583269      0.01007439      0.96557036      0.54042827      0.28850946      0.00000000
      1.36000000    -67.97475654      0.15583288      0.01007438      0.96557279      0.54042837      0.28850952      0.00000000
      1.37000000    -67.97476126      0.15583307      0.01007437      0.96557521      0.54042848      0.28850959      0.00000000
      1.38000000    -67.97476598      0.15583326      0.01007437      0.96557761      0.54042858      0.28850965      0.00000000
      1.39000000    -67.97477071      0.15583345      0.01007436      0.96557999      0.54042869      0.28850972      0.00000000
      1.40000000    -67.97477545      0.15583364      0.01007436      0.96558236      0.54042879      0.28850979      0.00000000
      1.41000000    -67.97478019      0.15583383      0.01007435      0.96558471      0.54042889      0.28850985      0.00000000
      1.42000000    -67.97478494      0.15583402      0.01007434      0.96558704      0.54042899      0.28850992      0.00000000
      1.43000000    -67.97478969      0.15583421      0.01007434      0.96558935      0.54042909      0.28850998      0.00000000
      1.44000000    -67.97479444      0.15583440      0.01007433      0.96559165      0.54042918      0.28851005      0.00000000
      1.45000000    -67.97479919      0.15583458      0.01007432      0.96559393      0.54042928      0.28851011      0.00000000
      1.46000000    -67.97480394      0.15583477      0.01007432      0.96559619      0.54042937      0.28851018      0.00000000
      1.47000000    -67.97480869      0.15583495      0.01007431      0.96559844      0.54042947      0.28851025      0.00000000
      1.48000000    -67.97481344      0.15583514      0.01007431      0.96560066      0.54042956      0.28851031      0.00000000
      1.49000000    -67.97481819      0.15583532      0.01007430      0.96560288      0.54042965      0.28851038      0.00000000
      1.50000000    -67.97482293      0.15583550      0.01007429      0.96560507      0.54042974      0.28851044      0.00000000
      1.51000000    -67.97482767      0.15583568      0.01007429      0.96560725      0.54042983      0.28851051      0.00000000
      1.52000000    -67.97483240      0.15583587      0.01007428      0.96560942      0.54042992      0.28851058      0.00000000
      1.53000000    -67.97483713      0.15583605      0.01007427      0.96561157      0.54043001      0.28851064      0.00000000
      1.54000000    -67.97484185      0.15583622      0.01007427      0.96561370      0.54043010      0.28851071      0.00000000
      1.55000000    -67.97484657      0.15583640      0.01007426      0.96561582      0.54043018      0.28851077      0.00000000
      1.56000000    -67.97485127      0.15583658      0.01007426      0.96561792      0.54043027      0.28851084      0.00000000
      1.57000000    -67.97485597      0.15583676      0.01007425      0.96562000      0.54043035      0.28851091      0.00000000
      1.58000000    -67.97486066      0.15583693      0.01007424      0.96562207      0.54043043      0.28851097      0.00000000
      1.59000000    -67.97486534      0.15583711      0.01007424      0.96562413      0.54043052      0.28851104      0.00000000
      1.60000000    -67.97487001      0.15583728      0.01007423      0.96562617      0.54043060      0.28851110      0.00000000
      1.61000000    -67.97487467      0.15583746      0.01007422      0.96562819      0.54043068      0.28851117      0.00000000
      1.62000000    -67.97487932      0.15583763      0.01007422      0.96563020      0.54043076      0.28851124      0.00000000
      1.63000000    -67.97488395      0.15583780      0.01007421      0.96563220      0.54043083      0.28851130      0.00000000
      1.64000000    -67.97488858      0.15583798      0.01007421      0.96563418      0.54043091      0.28851137      0.00000000
      1.65000000    -67.97489319      0.15583815      0.01007420      0.96563615      0.54043099      0.28851144      0.00000000
      1.66000000    -67.97489779      0.15583832      0.01007419      0.96563810      0.54043106      0.28851150      0.00000000
      1.67000000    -67.97490238      0.15583849      0.01007419      0.96564003      0.54043114      0.28851157      0.00000000
      1.68000000    -67.97490695      0.15583866      0.01007418      0.96564196      0.54043121      0.28851164      0.00000000
      1.69000000    -67.97491151      0.15583883      0.01007418      0.96564387      0.54043128      0.28851170      0.00000000
      1.70000000    -67.97491605      0.15583899      0.01007417      0.96564576      0.54043136      0.28851177      0.00000000
      1.71000000    -67.97492058      0.15583916      0.01007416      0.96564764      0.54043143      0.28851183      0.00000000
      1.72000000    -67.97492509      0.15583933      0.01007416      0.96564951      0.54043150      0.28851190      0.00000000
      1.73000000    -67.97492959      0.15583949      0.01007415      0.96565136      0.54043157      0.28851197      0.00000000
      1.74000000    -67.97493407      0.15583966      0.01007415      0.96565320      0.54043163      0.28851203      0.00000000
      1.75000000    -67.97493853      0.15583982      0.01007414      0.96565503      0.54043170      0.28851210      0.00000000
      1.76000000    -67.97494298      0.15583998      0.01007413      0.96565684      0.54043177      0.28851217      0.00000000
      1.77000000    -67.97494741      0.15584015      0.01007413      0.96565864      0.54043184      0.28851223      0.00000000
      1.78000000    -67.97495183      0.15584031      0.01007412      0.96566042      0.54043190      0.28851230      0.00000000
